Scientific Name,English Name,Family,Feeding Path,Feeding Path Level,Calcium (mg/100g),Calcium L95,Calcium U95,Iron (mg/100g),Iron L95,Iron U95,Total Omega-3 PUFA (g/100g),Omega3 L95,Omega3 U95,Protein (g/100g),Protein L95,Protein U95,Selenium (μg/100g),Selenium L95,Selenium U95,Vitamin A (μg/100g),VitaminA L95,VitaminA U95,Zinc (mg/100g),Zinc L95,Zinc U95
Brachirus orientalis,Oriental sole,Soleidae,benthic,species,284,80,847,0.895,0.366,2.372,0.282,0.121,0.657,17.4,15.8,19.1,51.2,22.7,131.1,22.8,6.2,87.7,1.2,0.6,2.5
Brachysomophis crocodilinus,Crocodile snake eel,Ophichthidae,benthic,species,34.4,19.8,59.3,0.422,0.249,0.695,0.121,0.055,0.32,19.9,17.8,22.3,56.3,32,109.5,41.4,11.9,128.4,0.857,0.6,1.185
Brosmophyciops pautzkei,Slimy cuskeel,Bythitidae,benthic,family,192,102,368,1.01,0.63,1.69,0.129,0.069,0.244,17.1,14.3,19.6,28.9,14.3,61.9,80.4,26.1,247.3,2.23,1.44,3.4
Brotula multibarbata,Goatsbeard brotula,Ophidiidae,benthic,species,33.4,19.4,56.7,0.416,0.248,0.684,0.0994,null,null,17.3,14.8,20,51.6,29.7,95.9,50.2,18.8,128.1,0.95,0.66,1.32
Bryaninops amplus,Large whip goby,Gobiidae,pelagic,genus,242,110,548,0.981,0.537,1.893,0.125,0.055,0.249,18,16,20,23.8,10.6,54.4,129,36,439,2.41,1.37,4.06
Bryaninops natans,Redeye goby,Gobiidae,pelagic,genus,396,163,979,1.22,0.64,2.47,0.138,0.058,0.299,18,16,20,21.2,8.6,53,145,37,542,2.85,1.57,5.03
Cabillus tongarevae,Tongareva goby,Gobiidae,benthic,family,357,151,859,1.14,0.61,2.29,0.136,0.057,0.289,17.9,16,19.7,21,9,52,159,41,580,2.78,1.55,4.89
Caesio caerulaurea,Blue and gold fusilier,Caesionidae,pelagic,species,51.2,32.2,95.4,0.815,0.554,1.149,0.151,0.107,0.214,19.3,18.4,20.2,39.4,23.4,61.6,72.5,31.7,165.8,1.11,0.83,1.49
Caesio lunaris,Lunar fusilier,Caesionidae,pelagic,species,45.7,29,83.3,0.772,0.53,1.084,0.148,0.105,0.207,19.3,18.4,20.2,40.3,23.7,61.8,71.7,31.5,163.9,1.07,0.8,1.43
Caesio teres,Yellow and blueback fusilier,Caesionidae,pelagic,species,45.7,29,83.3,0.772,0.53,1.084,0.148,0.105,0.207,19.3,18.4,20.2,40.3,23.7,61.8,71.7,31.5,163.9,1.07,0.8,1.43
Caesio varilineata,Variable-lined fusilier,Caesionidae,pelagic,species,45.7,29,83.3,0.772,0.53,1.084,0.148,0.105,0.207,19.3,18.4,20.2,40.3,23.7,61.8,71.7,31.5,163.9,1.07,0.8,1.43
Caesio xanthonota,Yellowback fusilier,Caesionidae,pelagic,species,45.7,29,83.3,0.772,0.53,1.084,0.148,0.105,0.207,19.3,18.4,20.2,40.3,23.7,61.8,71.7,31.5,163.9,1.07,0.8,1.43
Callechelys catostoma,Black-striped snake eel,Ophichthidae,benthic,family,43.2,25,72,0.505,0.323,0.792,0.118,0.057,0.305,19.7,17.5,22.1,54,31,99,35,10,110,1.01,0.71,1.38
Callechelys marmorata,Marbled snake eel,Ophichthidae,benthic,family,42.1,24.5,70,0.498,0.317,0.782,0.118,0.057,0.304,19.7,17.5,22.1,54.1,31.2,99.4,35.4,10.4,111.2,1,1,1
Callogobius maculipinnis,Ostrich goby,Gobiidae,benthic,family,189,90,412,0.904,0.508,1.696,0.117,0.054,0.222,18.1,16.2,19.8,26.6,12.4,57.3,102,28,337,2.18,1.28,3.56
Callogobius sclateri,Pacific goby,Gobiidae,benthic,family,181,87,387,0.878,0.487,1.638,0.117,0.054,0.219,18.1,16.2,19.8,26.4,12.3,56.5,108,30,353,2.16,1.26,3.54
Calloplesiops altivelis,Comet,Plesiopidae,pelagic,species,70,43,114,0.585,0.35,0.992,0.153,0.098,0.241,19.2,18.1,20.2,25.8,13.8,49.6,109,35,326,1.17,0.79,1.72
Calotomus carolinus,Carolines parrotfish,Scaridae,benthic,species,32,13,103,0.68,0.3,1.79,0.0777,null,null,19,17,21,19.1,6.6,53.7,11.7,3.5,41,1.94,0.83,3.46
Calotomus spinidens,Spinytooth parrotfish,Scaridae,benthic,species,42.5,17.7,142.6,0.715,0.325,1.892,0.0848,null,null,18.8,16.7,20.7,15.4,5.6,43,20.9,6.5,68.8,2.26,0.98,4.04
Calumia godeffroyi,Tailface sleeper,Eleotridae,benthic,family,312,139,740,1.05,0.53,2.02,0.143,0.073,0.282,18.5,16.7,20.3,24.1,9.7,56.2,150,40,547,2.51,1.39,4.27
Cantherhines dumerilii,Whitespotted filefish,Monacanthidae,benthic,species,23.2,9,93.5,0.832,0.295,2.368,0.0773,null,null,18.6,16.2,20.8,41.7,15.3,118.8,49.5,15.3,161.2,1.51,0.61,2.75
Cantherhines fronticinctus,Spectacled filefish,Monacanthidae,benthic,species,32.6,13,129.7,0.91,0.33,2.6,0.0883,null,null,18.7,16.4,20.9,37.8,14.2,107.9,67.9,21.1,223.6,1.6,0.6,2.9
Cantherhines pardalis,Honeycomb filefish,Monacanthidae,benthic,species,32.6,13,129.7,0.91,0.33,2.6,0.0883,null,null,18.7,16.4,20.9,37.8,14.2,107.9,67.9,21.1,223.6,1.6,0.6,2.9
Cantherhines sandwichiensis,Sandwich isle file,Monacanthidae,benthic,species,37.3,14.2,150.1,1.09,0.39,3.18,0.0817,null,null,18.3,16,20.6,36.4,13.3,108.4,49.7,14.8,164.4,1.92,0.77,3.5
Canthigaster amboinensis,Spider-eye puffer,Tetraodontidae,benthic,species,98.9,37.7,224,0.895,0.56,1.756,0.128,0.063,0.243,18.4,16.1,20.6,29.6,14.9,64.5,40.2,11.5,140.2,1.52,0.96,2.42
Canthigaster bennetti,Bennett's sharpnose puffer,Tetraodontidae,benthic,species,129,48,311,1.04,0.64,2.08,0.134,0.063,0.261,18.3,15.9,20.5,27.1,13.1,61.2,42.2,11.7,155.9,1.74,1.08,2.84
Canthigaster janthinoptera,Honeycomb toby,Tetraodontidae,benthic,species,151,59,380,1.03,0.63,2.07,0.148,0.071,0.295,18.5,16.2,20.8,26.6,12.5,61.7,53.6,15.4,198.4,1.64,1.02,2.68
Canthigaster margaritata,,Tetraodontidae,benthic,genus,63.3,22.6,162.4,0.743,0.457,1.339,0.136,0.065,0.261,18.9,16.6,21.2,41.3,22.7,77.1,47.6,19,117.2,1.34,0.92,1.93
Canthigaster rivulata,Brown-lined puffer,Tetraodontidae,benthic,genus,89.9,35,200.5,0.811,0.516,1.596,0.132,0.067,0.247,18.6,16.3,20.8,30.6,15.5,66.2,45.2,13.2,153.4,1.37,0.88,2.14
Canthigaster smithae,Bicolored toby,Tetraodontidae,benthic,genus,114,45,267,0.903,0.562,1.79,0.139,0.069,0.266,18.6,16.3,20.8,28.5,14.2,63.7,49.8,14.5,173.6,1.49,0.94,2.38
Canthigaster valentini,Valentin's sharpnose puffer,Tetraodontidae,benthic,species,126,48,303,0.994,0.609,1.966,0.138,0.066,0.266,18.4,16.1,20.7,27.8,13.5,62.3,44.9,12.9,162.5,1.63,1.01,2.62
Caracanthus maculatus,Spotted coral croucher,Scorpaenidae,benthic,genus,208,98,538,0.906,0.508,1.831,0.253,0.1,0.766,17.9,15.8,20,21,8,57,182,50,669,1.77,1.06,2.95
Caracanthus madagascariensis,Spotted croucher,Scorpaenidae,benthic,genus,208,98,538,0.906,0.508,1.831,0.253,0.1,0.766,17.9,15.8,20,21,8,57,182,50,669,1.77,1.06,2.95
Caracanthus unipinna,Pygmy coral croucher,Scorpaenidae,benthic,species,204,98,526,0.921,0.532,1.849,0.247,0.099,0.733,17.8,15.7,19.9,20.8,8.8,56.7,169,47,622,1.81,1.09,3.01
Carangoides armatus,Longfin trevally,Carangidae,pelagic,genus,35,16,82,1.63,0.7,3.82,0.381,0.169,0.873,19.1,16.7,20.9,10.4,3.3,25.8,120,12,"1,018",0.817,0.419,1.783
Carangoides chrysophrys,Longnose trevally,Carangidae,pelagic,species,27,11,71,1.39,0.55,3.65,0.325,0.133,0.788,18.7,16.3,20.7,9.46,2.9,27.08,95,8,821,0.691,0.314,1.554
Carangoides coeruleopinnatus,Coastal trevally,Carangidae,pelagic,species,33,16,73,1.32,0.58,2.92,0.183,0.094,0.362,19.9,17.7,21.9,9.12,3.58,21.6,87.8,8.5,624.4,0.595,0.291,1.292
Carangoides ferdau,Blue trevally,Carangidae,pelagic,species,28.3,12.7,66.4,1.47,0.63,3.36,0.366,0.162,0.821,19,17,21,10.6,3.4,25.7,126,13,"1,062",0.782,0.4,1.735
Carangoides fulvoguttatus,Yellowspotted trevally,Carangidae,pelagic,species,18.3,10.5,34.3,0.842,0.412,1.671,0.164,0.101,0.269,20.6,18.3,22.4,13.3,6.6,28,55.3,6,385,0.56,0.31,1.16
Carangoides gymnostethus,Bludger,Carangidae,pelagic,species,22.5,12.8,42.4,0.98,0.47,1.89,0.164,0.103,0.267,20.5,18.1,22.3,12.7,6.5,27.3,50.1,5.7,352.2,0.633,0.346,1.3
Carangoides hedlandensis,Bumpnose trevally,Carangidae,pelagic,genus,59.4,27.4,157,2,1,5,0.192,0.086,0.428,20.2,17.9,22.3,10.6,3.9,28.7,34.8,3.1,320.6,0.643,0.297,1.506
Carangoides malabaricus,Malabar trevally,Carangidae,pelagic,species,30.1,14.5,68.9,1.48,0.64,3.38,0.161,0.081,0.316,20,18,22,11,4,28,34.9,3.6,279,0.578,0.277,1.277
Carangoides oblongus,Coachwhip trevally,Carangidae,pelagic,genus,32.7,17.9,66,1.38,0.64,2.8,0.198,0.117,0.346,20.3,18,22.1,10.7,4.8,22.7,101,12,670,0.657,0.361,1.382
Carangoides orthogrammus,Island trevally,Carangidae,pelagic,species,23,13,45,1.16,0.55,2.34,0.187,0.113,0.321,20.4,18.1,22.2,11.9,5.5,25.3,93.2,10.5,631.6,0.565,0.31,1.186
Carangoides plagiotaenia,Barcheek trevally,Carangidae,pelagic,species,35.1,20.1,67.6,1.22,0.58,2.37,0.178,0.109,0.297,20.4,18.1,22.2,11.4,5.7,22.5,55,6,393,0.759,0.413,1.554
Caranx ignobilis,Giant trevally,Carangidae,pelagic,species,10.5,4.2,24.3,0.294,0.147,0.608,0.261,0.121,0.567,18.9,16.6,21.3,48.3,21.1,136.2,104,27,408,0.55,0.34,0.94
Caranx lugubris,Black jack,Carangidae,pelagic,species,21.3,10.3,49.5,0.458,0.263,0.954,0.368,0.199,0.687,19.7,17.6,22.2,34.8,16.6,81.3,30.7,9.9,99,0.383,0.254,0.611
Caranx melampygus,Bluefin trevally,Carangidae,pelagic,species,16.3,6.8,36.7,0.359,0.181,0.729,0.291,0.135,0.631,19,17,21,47.1,18.1,130.5,99.3,26.7,363.3,0.585,0.37,0.972
Caranx papuensis,Brassy trevally,Carangidae,pelagic,species,24.5,10.6,55.7,0.518,0.258,1.067,0.284,0.13,0.638,19,17,21,51.9,17.9,144.2,48.7,13.2,171.9,0.68,0.43,1.13
Caranx sexfasciatus,Bigeye trevally,Carangidae,pelagic,species,17.2,7.2,39.1,0.379,0.19,0.762,0.291,0.134,0.632,19.1,16.9,21.5,49.3,18,137.7,83.9,22.6,299.3,0.582,0.371,0.965
Carcharhinus albimarginatus,Silvertip shark,Carcharhinidae,pelagic,species,7.79,1.06,28.53,0.371,0.105,1.04,0.104,0.046,0.241,22.2,19.1,24.5,40.3,10.2,104.7,47.4,17.8,124.6,0.479,0.219,0.961
Carcharhinus amblyrhynchos,Blacktail reef shark,Carcharhinidae,pelagic,species,9.26,1.28,33.23,0.418,0.116,1.182,0.105,0.047,0.24,22.2,19.1,24.5,40.2,10.2,103.1,41.6,16.4,104.7,0.508,0.23,1.012
Carcharhinus brachyurus,Copper shark,Carcharhinidae,pelagic,species,5.06,0.68,21.46,0.536,0.155,1.743,0.32,0.11,0.92,21.5,18.4,23.9,15.8,3.1,55.3,72.4,15.7,328.7,0.451,0.196,1.058
Carcharhinus brevipinna,Spinner shark,Carcharhinidae,pelagic,species,6.57,0.88,25.76,0.665,0.17,1.944,0.156,0.063,0.372,23,20,25,21.7,5.3,58.8,18.4,5.9,58.7,0.372,0.169,0.772
Carcharhinus dussumieri,Whitecheek shark,Carcharhinidae,benthic,species,15.6,2.2,54.9,0.532,0.151,1.506,0.117,0.05,0.259,22,19,24,34.4,8.8,85.6,50.3,21.2,120.3,0.642,0.292,1.288
Carcharhinus falciformis,Silky shark,Carcharhinidae,pelagic,species,4.92,0.68,19.71,0.504,0.137,1.472,0.159,0.064,0.387,23,20,25,20.1,4.9,54.2,32,10,96,0.341,0.155,0.704
Carcharhinus limbatus,Blacktip shark,Carcharhinidae,pelagic,species,9.47,1.32,38.14,0.903,0.239,3.014,0.329,0.107,0.982,21.9,18.8,24.3,20.5,3,68.2,24.3,5.4,109.5,0.482,0.21,1.111
Carcharhinus longimanus,Oceanic whitetip shark,Carcharhinidae,pelagic,species,11.6,1.3,47.9,1,0,3,0.3,0.1,0.7,22.4,19.3,24.7,26.4,7.3,72.2,7.32,2.54,21.36,0.367,0.175,0.752
Carcharhinus melanopterus,Blacktip reef shark,Carcharhinidae,pelagic,species,8.97,1.22,35.05,0.865,0.231,2.856,0.32,0.11,0.91,21.4,18.4,23.8,16.9,3.1,56.3,37.1,8.6,147.5,0.562,0.251,1.287
Carcharhinus plumbeus,Sandbar shark,Carcharhinidae,pelagic,species,17.9,2.2,73.2,0.733,0.202,2.353,0.583,0.21,1.471,20.3,17.3,22.8,20.1,4,70.2,50.3,12,216.2,0.563,0.257,1.292
Carcharhinus sealei,Blackspot shark,Carcharhinidae,pelagic,species,18.3,2.7,63.8,0.535,0.156,1.515,0.126,0.054,0.283,22.1,18.9,24.4,33,8,81,63.6,26.3,154,0.65,0.3,1.3
Carcharhinus sorrah,Spot-tail shark,Carcharhinidae,pelagic,species,18.7,2.9,70.5,0.687,0.202,2.281,0.235,0.083,0.632,21,18,23,36.9,6.1,116.5,49.2,13.9,175,0.747,0.333,1.615
Centrophorus granulosus,Gulper shark,Centrophoridae,pelagic,species,7.8,1.3,25.3,0.248,0.06,0.628,0.283,0.108,0.895,19.9,17.7,22,20,6,57,10.3,2.6,35.6,0.251,0.121,0.526
Centrophorus squamosus,Leafscale gulper shark,Centrophoridae,pelagic,species,6.83,1.23,22.55,0.203,0.05,0.541,0.298,0.112,0.948,19.9,17.7,22,18,5,50,19.3,4.8,74.5,0.237,0.114,0.497
Centropyge acanthops,Orangeback angelfish,Pomacanthidae,benthic,species,112,66,189,0.802,0.514,1.327,0.151,0.089,0.248,18.5,17.4,19.7,20.6,10.9,40,111,34,351,1.74,1.14,2.61
Centropyge bispinosa,Twospined angelfish,Pomacanthidae,benthic,species,95.6,56.8,157.2,0.761,0.494,1.233,0.143,0.087,0.227,18.5,17.4,19.6,22,12,42,96.1,28.8,306.6,1.66,1.1,2.48
Centropyge multispinis,Dusky angelfish,Pomacanthidae,benthic,species,74.5,44.8,119.3,0.683,0.444,1.095,0.135,0.085,0.21,18.6,17.5,19.7,23.7,13,44.3,86.9,26.1,274.5,1.52,1.01,2.25
Centroscymnus coelolepis,Portuguese dogfish,Somniosidae,benthic,species,5.06,0.94,18.74,0.143,0.033,0.413,0.31,0.11,0.99,19.8,16.8,22,12.6,3.1,41,71.7,11.5,417.1,0.256,0.114,0.582
Centroselachus crepidater,Longnose velvet dogfish,Somniosidae,pelagic,species,7.37,1.34,24.65,0.215,0.053,0.555,0.297,0.111,0.92,20.1,17.2,22.3,16.5,4.9,46.9,20.9,5.2,79.5,0.264,0.127,0.569
Cephalopholis argus,Peacock hind,Serranidae,pelagic,species,35.9,20.5,60.6,0.522,0.29,0.892,0.167,0.106,0.263,18.7,16.6,20.5,41.6,24,68.8,168,59,517,0.69,0.49,1.14
Cephalopholis aurantia,Golden hind,Serranidae,pelagic,species,40.6,22.5,68.9,0.479,0.26,0.819,0.148,0.093,0.237,18.7,16.8,20.6,42.8,24.6,76.6,87.1,31.2,259.4,0.832,0.569,1.369
Cephalopholis boenak,Chocolate hind,Serranidae,pelagic,species,60.4,34.1,104.2,0.714,0.387,1.232,0.177,0.107,0.284,18.5,16.5,20.3,36.9,20.9,63.1,156,57,457,0.883,0.619,1.48
Cephalopholis leopardus,Leopard hind,Serranidae,pelagic,species,81.1,43.3,144.5,0.652,0.348,1.15,0.172,0.103,0.287,18.6,16.7,20.5,35.9,18.9,66.4,111,38,338,1.08,0.72,1.79
Cephalopholis miniata,Coral hind,Serranidae,pelagic,species,32.3,18,55.5,0.472,0.268,0.784,0.165,0.103,0.265,18.3,16.3,20.2,35.8,20.1,60.3,263,85,896,0.742,0.521,1.25
Cephalopholis nigripinnis,Blackfin grouper,Serranidae,pelagic,genus,61.5,35,105.9,0.695,0.381,1.189,0.182,0.11,0.293,18.5,16.4,20.3,35.5,19.9,60.8,185,67,555,0.886,0.625,1.483
Cephalopholis sexmaculata,Sixblotch hind,Serranidae,pelagic,species,45.3,25.3,77.3,0.664,0.357,1.164,0.161,0.098,0.255,18.6,16.6,20.4,43.6,25,72.5,102,39,291,0.78,0.55,1.28
Cephalopholis sonnerati,Tomato hind,Serranidae,pelagic,species,41.4,22.9,70,0.496,0.267,0.838,0.144,0.09,0.233,18.6,16.7,20.5,42.4,24.6,75.5,81,30,239,0.869,0.592,1.435
Cephalopholis spiloparaea,Strawberry hind,Serranidae,pelagic,genus,61,35,106,0.707,0.382,1.221,0.18,0.11,0.29,18.5,16.5,20.4,36.9,20.8,63.2,163,60,492,0.869,0.609,1.459
Cephalopholis urodeta,Darkfin hind,Serranidae,pelagic,species,84.7,43.9,166.2,0.957,0.468,1.812,0.179,0.1,0.312,18.7,16.7,20.6,42.9,21.8,80.5,76.1,26.4,247.6,0.919,0.596,1.622
Cetoscarus ocellatus,Spotted parrotfish,Scaridae,benthic,genus,22.6,11.4,41.6,0.511,0.297,0.877,0.0928,null,null,18.6,16.6,20.6,41.6,19.6,95,31.2,8.7,107.3,1.3,0.8,2.1
Chaetodon auriga,Threadfin butterflyfish,Chaetodontidae,benthic,species,95.7,53.6,172.6,0.821,0.507,1.508,0.146,0.089,0.242,19.5,18.4,20.6,33.8,17,69.2,33.4,10.1,114.4,1.18,0.78,1.79
Chaetodon bennetti,Bluelashed butterflyfish,Chaetodontidae,benthic,species,82.4,50.3,134.5,0.779,0.515,1.262,0.136,0.088,0.206,19,18,20,30.1,17.1,55.3,41.6,13.7,130.4,1.33,0.91,1.93
Chaetodon citrinellus,Speckled butterflyfish,Chaetodontidae,benthic,species,135,74,254,0.957,0.595,1.788,0.156,0.091,0.266,19.3,18.1,20.4,29.2,14.3,61.3,41.4,12.3,142.9,1.42,0.92,2.17
Chaetodon dolosus,African butterflyfish,Chaetodontidae,benthic,species,99.5,59.8,170.4,0.893,0.586,1.441,0.136,0.086,0.213,18.9,17.8,20,28.7,15.8,54.5,38.6,12.4,126.7,1.5,1,2.2
Chaetodon falcula,Blackwedged butterflyfish,Chaetodontidae,benthic,species,85.5,51.5,142.5,0.742,0.488,1.24,0.144,0.093,0.223,19.2,18.1,20.2,29.7,16.6,55.5,50.2,16.5,152.7,1.26,0.86,1.84
Chaetodon guttatissimus,Peppered butterflyfish,Chaetodontidae,benthic,species,121,71,212,0.919,0.601,1.556,0.147,0.091,0.238,19,18,20,27.1,14.5,52.8,48.1,15.1,156.4,1.53,1.02,2.27
Chaetodon interruptus,Yellow teardrop butterflyfish,Chaetodontidae,benthic,genus,85.7,51.6,143.1,0.741,0.487,1.239,0.145,0.093,0.224,19.2,18.1,20.2,29.7,16.6,55.7,50.7,16.6,154.3,1.26,0.85,1.83
Chaetodon kleinii,Sunburst butterflyfish,Chaetodontidae,pelagic,species,101,61,172,0.882,0.579,1.433,0.138,0.088,0.216,18.9,17.9,20,28.6,15.8,54.3,40.6,13,131.8,1.48,1,2.17
Chaetodon lineolatus,Lined butterflyfish,Chaetodontidae,benthic,species,63.3,38.9,99.5,0.663,0.444,1.077,0.133,0.089,0.197,19.2,18.1,20.2,32.7,19,58.6,42,14,124,1.14,0.79,1.65
Chaetodon lunula,Raccoon butterflyfish,Chaetodontidae,benthic,species,87,52,147,0.726,0.474,1.244,0.149,0.094,0.234,19.3,18.2,20.3,29.5,16.3,56.7,54.9,17.9,169.4,1.23,0.83,1.8
Chaetodon madagaskariensis,Seychelles butterflyfish,Chaetodontidae,benthic,species,112,66,197,0.946,0.611,1.541,0.139,0.086,0.222,18.9,17.8,20,28,15,54,39.1,12.4,131,1.56,1.04,2.31
Chaetodon melannotus,Blackback butterflyfish,Chaetodontidae,benthic,species,58.4,32.8,102,0.453,0.227,0.848,0.164,0.095,0.28,19,18,20,22,10,47,268,69,983,1.14,0.71,1.78
Chaetodon melapterus,Arabian butterflyfish,Chaetodontidae,benthic,species,118,69,208,0.89,0.58,1.53,0.15,0.09,0.24,19.1,18,20.2,27.7,14.6,54.3,49.3,15.7,156.5,1.45,0.97,2.15
Chaetodon meyeri,Scrawled butterflyfish,Chaetodontidae,benthic,species,84,51,138,0.761,0.503,1.254,0.14,0.09,0.21,19.1,18,20.1,29.9,16.9,55.1,45.7,15.1,140.2,1.29,0.88,1.88
Chaetodon octofasciatus,Eightband butterflyfish,Chaetodontidae,benthic,species,114,67,202,0.981,0.63,1.582,0.137,0.083,0.22,18.8,17.7,19.9,27.4,14.5,53.7,38,12,130,1.64,1.09,2.44
Chaetodon triangulum,Triangle butterflyfish,Chaetodontidae,benthic,species,101,60,174,0.833,0.547,1.404,0.145,0.091,0.228,19.1,18,20.2,28.9,15.8,55.4,46.3,14.9,143.9,1.38,0.93,2.02
Chaetodon trifascialis,Chevron butterflyfish,Chaetodontidae,benthic,species,76.7,47.5,119.8,0.687,0.453,1.109,0.141,0.092,0.213,18.9,17.9,20,26.6,15.3,48.5,69.5,22.7,205.8,1.33,0.91,1.92
Chaetodon trifasciatus,Melon butterflyfish,Chaetodontidae,benthic,species,123,68,227,0.965,0.6,1.727,0.147,0.089,0.246,19.2,18.1,20.4,30.7,15.6,63.6,33.7,10.1,117.2,1.4,0.9,2.1
Chaetodon unimaculatus,Teardrop butterflyfish,Chaetodontidae,benthic,species,84,51,138,0.761,0.503,1.254,0.14,0.09,0.21,19.1,18,20.1,29.9,16.9,55.1,45.7,15.1,140.2,1.29,0.88,1.88
Chaetodon vagabundus,Vagabond butterflyfish,Chaetodontidae,benthic,species,72.6,45.1,116.4,0.763,0.505,1.207,0.129,0.084,0.192,19,18,20,31.4,17.9,56.9,36.4,11.9,114.7,1.32,0.9,1.91
Chaetodon xanthocephalus,Yellowhead butterflyfish,Chaetodontidae,benthic,species,78.9,48.3,129.8,0.815,0.542,1.293,0.128,0.082,0.194,18.9,17.8,19.9,30.7,17.3,56.5,34.8,11,110.9,1.41,0.96,2.05
Chaetodon zanzibarensis,Zanzibar butterflyfish,Chaetodontidae,benthic,species,124,72,218,0.898,0.581,1.549,0.152,0.092,0.248,19,18,20,27,14,53,52.5,16.7,167.6,1.49,0.99,2.2
Chalixodytes tauensis,Saddled sandburrower,Creediidae,pelagic,family,153,72,315,0.888,0.5,1.687,0.141,0.071,0.286,18,17,19,19.9,8.1,44.5,459,141,"1,440",2.07,1.27,3.33
Chanos chanos,Milkfish,Chanidae,pelagic,species,61.9,29.9,124.1,0.672,0.397,1.225,0.248,0.112,0.531,19.4,15.2,22,91.1,37.2,226.4,11.3,2.7,41.9,1.34,0.84,2.19
Cheilinus chlorourus,Floral wrasse,Labridae,benthic,species,38.1,19.1,73.6,0.69,0.26,1.38,0.0936,null,null,18.2,14.3,21.4,38.9,17.4,79.7,213,41,804,2.76,1.45,4.62
Cheilinus fasciatus,Redbreasted wrasse,Labridae,benthic,species,39.6,19.7,76.7,0.698,0.261,1.41,0.0937,null,null,18.1,14.2,21.3,37.2,16.4,76.2,232,44,891,2.88,1.51,4.85
Cheilinus lunulatus,Broomtail wrasse,Labridae,benthic,species,33.7,17,64.6,0.63,0.25,1.14,0.0846,null,null,17.9,14,21.3,33.3,16.6,68.7,169,28,774,2.38,1.26,3.55
Cheilinus oxycephalus,Snooty wrasse,Labridae,benthic,genus,84.3,40.7,166.4,0.921,0.337,1.911,0.117,0.066,0.207,18.2,14.3,21.5,31.2,13,66.1,322,60,"1,389",3.41,1.82,5.78
Cheilinus trilobatus,Tripletail wrasse,Labridae,benthic,species,45.8,20.3,109.4,0.788,0.303,1.673,0.178,0.08,0.389,16.8,12.9,20.2,30.4,11.9,78.7,262,39,"1,483",3.09,1.54,5.06
Cheilinus undulatus,Humphead wrasse,Labridae,benthic,species,11.3,5.4,24.8,0.378,0.123,0.795,0.0774,null,null,18.5,14.6,21.8,52.6,23.7,118.5,177,31,655,1.66,0.83,2.87
Cheilio inermis,Cigar wrasse,Labridae,benthic,species,41.3,23.1,70.1,0.462,0.266,0.839,0.092,0.056,0.152,18.3,15.5,20.7,39.8,22.3,71.3,89.4,27.4,302,1.38,0.91,2.45
Cheilodipterus arabicus,Tiger cardinal,Apogonidae,benthic,species,89.8,58.1,184.6,0.782,0.501,1.152,0.162,0.113,0.232,19.4,18.5,20.3,33.1,19.4,53.1,76.4,30.5,186.2,1.48,1.08,1.99
Cheilodipterus artus,Wolf cardinalfish,Apogonidae,pelagic,species,76.2,43.3,127.5,0.775,0.49,1.334,0.166,0.098,0.272,19.1,18,20.2,28,14,53,121,40,366,1.05,0.7,1.59
Cheilodipterus macrodon,Large toothed cardinalfish,Apogonidae,pelagic,species,73.5,44.5,122.7,0.64,0.41,1.11,0.15,0.1,0.24,19.4,18.3,20.4,30,16,58,63.6,20.7,198.2,1.11,0.75,1.62
Cheilodipterus quinquelineatus,Five-lined cardinalfish,Apogonidae,benthic,species,147,83,312,0.811,0.496,1.391,0.126,0.075,0.219,19.1,18.1,20.2,34.2,16.8,67.9,85.1,29.7,234.8,1.63,1.1,2.36
Cheilopogon cyanopterus,Margined flyingfish,Exocoetidae,pelagic,species,163,68,408,2.38,1.31,3.83,0.381,0.175,0.941,18.5,16.6,20.4,29,14,59,11.1,3.4,43.6,0.98,0.66,1.45
Chirocentrus dorab,Dorab wolf-herring,Chirocentridae,pelagic,species,43.1,18.8,93.2,0.592,0.335,1.215,0.289,0.12,0.687,19.2,16.8,21.4,49.5,20.4,120.3,93.6,22.3,365.5,1.02,0.65,1.66
Chirocentrus nudus,Whitefin wolf-herring,Chirocentridae,pelagic,species,92.8,50.4,189,0.971,0.622,1.618,0.287,0.139,0.619,20,18,22,73.3,36.8,150.5,16,6,43,0.857,0.586,1.264
Chlorurus atrilunula,Bluemoon parrotfish,Scaridae,benthic,species,42.8,16.8,114.7,0.692,0.286,1.844,0.103,0.05,0.21,18.7,16.6,20.6,37,13,109,25.9,8.1,81.8,2.59,1.04,4.69
Chlorurus capistratoides,Indian parrotfish,Scaridae,benthic,genus,34.3,13.3,90.7,0.627,0.262,1.685,0.098,0.047,0.203,18.8,16.7,20.6,39.6,14,115.3,23.8,7.5,75.2,2.4,1,4.3
Chlorurus enneacanthus,Captain parrotfish,Scaridae,benthic,species,28.8,11.2,76.9,0.578,0.241,1.549,0.0948,null,null,18.8,16.7,20.7,41.5,14.4,122.8,22.5,7,70.9,2.25,0.89,4.11
Chlorurus sordidus,Daisy parrotfish,Scaridae,benthic,species,56.5,20.2,149.7,0.899,0.345,2.514,0.213,0.087,0.527,18,16,20,40.6,14,125.1,25.6,6.8,90.9,2.86,1.17,5.4
Chlorurus strongylocephalus,Steephead parrotfish,Scaridae,benthic,species,22.7,8.6,61.3,0.523,0.214,1.409,0.0896,null,null,18.8,16.7,20.7,45,16,135,19.8,6.2,62.8,2.05,0.82,3.8
